"endef","mmdef"
"investigation","စံုစမ္းစစ္ေဆးျခင္း"
"invoice","ကုန္ပို႕စာရင္း"
"islands of resistance","ဘာသာအစုအလိုက္ခုခံေနရာမ်ား၊ခံစစ္ကၽြန္းကေလးမ်ား"
"irregular warfare","သာမန္မဟုတ္ေသာစစ္ဆင္ေရး"
"isolating the battle field","စစ္တလင္းအား ထီးထီးျဖစ္ေစျခင္း"
"isolation","ည္းျဖစ္ျခင္း၊သီးျခား"
"issue control registration sheet","ထုတ္ေပးႀကီးၾကပ္ေရးႏွင့္မွတ္ပံုတင္လႊာ"
"item","အမ်ိဳးအမည္၊အမယ္"
"J","Juliet"
"jamming(Ammunition)","က်ည္ညပ္ျခင္း"
"jamming(Engineer)","စက္ကပ္ျခင္း"
"jamming(Signal)","ေႏွာက္ယွက္အသံလႊင့္ျခင္း"
"job analysis","လုပ္ငန္းရပ္ စီစစ္ျခင္း"
"joining instruction","ေက်ာင္းဝင္ညႊန္ၾကားခ်က္မ်ား"
"judicial matters","တရားစီရင္မႈ ကိစၥမ်ား"
"jurisdiction","စီရင္ပိုင္ခြင့္အာဏာ"
"K","Kilo"
"key(Cipher)","ေသာ့ခ်က္(ဝွက္စာ)"
"killed in action","တိုက္ပြဲတြင္က်ဆံုးျခင္း"
"kit(soldier)","စစ္သည္သံုးပစၥည္း"
"kneling position","ဒူးေထာက္အေနအထား"
"knife rest","ၾကက္ေျခခတ္ လမ္းဆို႕အရွင္"
"knot","ေရေၾကာင္းမိုင္"
"L","Lima"
"labour","လုပ္အား၊လုပ္သား"
"á°lance rank(e.g.lance corporal)","ဒုတိယ ရာထူး(ဥပမာ-ဒုတပ္ၾကပ္)"
"land mark","ေျမေနရာအမွတ္အသား"
"land mine","ေျမျမွပ္မိုင္း"
"land warfare","ၾကည္းေၾကာင္းစစ္ပြဲ"
"landed cost","ဆိပ္ကမ္းေရာက္ တန္ဖိုး"
"landing craft","ကမ္းတက္ေရယာဥ္မ်ား"
"landing field","ေလယာဥ္ဆင္းကြင္း"
"landing officer","ကမ္းေျခတပ္အရာရွိ"
"landing ships","ကမ္းတက္သေဘၤာမ်ား"
"lanes","လမ္းၾကားမ်ား"
"lanyard","ဓါး သိုင္းႀကိဳး၊ေသနတ္ ထိန္းႀကိဳး"
"last light","ေမွာင္စ"
"last warning","ေနာက္ဆံုးသတိေပးျခင္း"
"lateral communication","ေဘးတိုက္တပ္ခ်င္း ဆက္သြယ္ေရး"
"lateral road","ကန္႔လန္႔ ျဖတ္လမ္း"
"launch","ေမာ္ေတာ္ေလွ"
"launcher","ေလာင္ခ်ာ"
"law","တရားဥပေဒ"
"law, civil","နယ္ဘက္ဆိုင္ရာ တရားဥပေဒ"
"law, military","စစ္ဘက္ဆိုင္ရာ တရားဥပေဒ"
"lay out","အေနအထား၊ အခင္းအက်င္း"
"leaflet","စာတမ္း"
"leaguer","နားရပ္"
"leap frog(physical training)","ဖားခုန္နည္း"
"leap frog(tactical)","ဖားခုန္စနစ္ျဖင့္ခ်ီတက္ျခင္း"
"leave, casual","ေရွာင္တခင္ခြင့္"
"leave, ordinary","သာမန္ခြင့္"
"leave pay and allowance","ခြင့္လစာႏွင့္ စရိတ္"
"á°leave sanctioning authority","ခြင့္ေပးအာဏာပိုင္"
"á°leave pending retirement","အၿငိမ္းစားထြက္ခြင့္"
"leave, special","အထူးခြင့္"
"leave, study","စာသင္ခြင့္"
"leave,without pay","လစာမဲ့ခြင့္"
"left out of battle(LOB)","တိုက္ပြဲတြင္ မပါဝင္ေသာသူမ်ား/အသံုးမျပဳေသာပစၥည္းမ်ား"
"legal matters","ဥပေဒဆိုင္ရာကိစၥမ်ား"
"legend","အညႊန္း"
"lesson notes","သင္ခန္းစာမွတ္စု"
"level of command","ကြပ္ကဲမႈအဆင့္"
"liaison officer","ဆက္ဆံေရးအရာရွိ"
"library","စာၾကည့္တိုက္"
"lifted","ေျပာင္းပစ္ၿပီး"
"light anti-aircraft(LAA)","အေသးစား ေလယာဥ္ပစ္ အေျမာက္"
"light artillery","အေသးစားအေျမာက္"
"light gun tank","အေျမာက္အငယ္စား တင့္ကား"
"limber","က်ည္တြဲ"
"limit of exploitation","အျမတ္ထုတ္မ်ဥ္း၊ ကန္႕သတ္မ်ဥ္း၊ တိုးခ်ဲ႕ကန္႕သတ္မ်ဥ္း"
"limit of forward recovery","ေရွ႕တန္း ပစၥည္းေကာက္ ကန္႕သတ္ခ်က္"
"limited objective","ကန္႔သတ္ရည္မွန္းခ်က္"
"line of advance","ခ်ီတက္ရာလမ္းေၾကာင္း"
"line of bearing","သံလိုက္အိမ္ေျမာင္ ညႊန္ျပမ်ဥ္း"
"line of communication(L of C)","ဆက္သြယ္ေရး လမ္းေၾကာင္း"
"line of deparation( start line)","စမ်ဥ္း"
"line of fire","ပစ္ေၾကာင္း"
"line of operation","စစ္ေၾကာင္း၊ စစ္ဆင္မႈလမ္းေၾကာင္း"
"liner target","မ်ဥ္းပံု ပစ္မွတ္"
"lines along route(lines to be reached in advance)","ခရီးကန္႔ မ်ဥ္းမ်ား၊ တက္စစ္ ညွိမ်ဥ္းမ်ား"
"link-up","တပ္ခ်င္း ဆက္ျခင္း"
"liquid explosive","ယမ္းဘီလူး အရည္"
"listening post","အသံကင္း"
"literacy","အေရးအဖတ္ တတ္ေျမာက္မႈ"
"local","ေဒသႏ ၱရ၊ဌာေန"
"local air superiority","ေဒသႏ ၱေလေၾကာင္း အေရးသာျခင္း"
"local purchase","ေဒသႏ ၱရ/ ဌာေနဆိုင္ရာ ဝယ္ယူျခင္း၊ ျပည္တြင္း ဝယ္ယူျခင္း"
"local rank","ေဒသႏ ၱရ/ ဌာေနအဆင့္"
"locality","ေဒသ"
"locating batter(artillery)","ရွာေဖြေရး တပ္ခြဲ"
"location","တည္ေနရာ"
"lodgment area","တပ္အင္အား သိုေလွာင္ေသာ နယ္ေျမ"
"log","စာတို"
"logistics","ေထာက္ပံ့ပို႕ေဆာင္ေရး"
"long term policy","ေရရွည္ စီမံကိန္း၊ ႏွစ္ရွည္ စီမံကိန္း"
"low explosive","ယမ္းညွင္း"
"M","Mike"
"machine shop","တြင္ရံု၊ စက္ပစၥည္း ျပဳျပင္ထုတ္လုပ္ေရး စက္ရံု"
"machinist","စက္ကိုင္"
"main","ပင္မ၊အဓိက"
"main body, force","ပင္မတပ္"
"main guard(main body of the advance guard)","ေရွ႕ရံတပ္၏ ပင္မတပ္"
"main headquarters","ပင္မဌာနခ်ဳပ္"
"main line of resistance(main defence position)","အဓိကခံစစ္ေၾကာင္း"
"main point of tmpact","က်ဥ္စု ဗဟို"
"main position","ပင္မေနရာ"
"maintenance of direction","အရပ္မ်က္ႏွာ ထိန္းသိမ္းျခင္း"
"maintenance of momentum","အဟုန္ ထိန္းသိမ္းျခင္း"
"maintenance of situation","ထိန္းသိမ္းေရး"
"maintenance (repair)","ၾကံ႕ခိုင္ေရး"
"maintenance (supplies)","ေထာက္ပံ့ေရး"
"major head","ေခါင္းစဥ္ႀကီး"
"malingering","ေရာဂါရွိဟန္ေဆာင္ျခင္း"
"man-handling","လူႏွင့္ သယ္ယူျခင္း"
"manoeuvre","စစ္ကစားျခင္း"
"manoeuvre (exercise)","စစ္ကစားမႈ ေလ့က်င့္ျခင္း"
"manoueuverability","ေပါ့ပါးျခင္း၊ စစ္ကစားႏိုင္ျခင္း"
"map","ေျမပံု"
"map reading","ေျမပံု ဖတ္နည္း"
"map Raference(MR)","ေျမပံုညႊန္း"
"march","စစ္ခ်ီျခင္း၊ ခ်ီတက္ျခင္း"
"marine","ကမ္းတပ္ ေရတပ္သား"
"marine corps","ေရတပ္၏ ၾကည္းတပ္"
"mark","အမွတ္စာရင္း၊ အမွတ္အသား"
"marshalling area","စီမံခန္႔ခြဲမႈ ေနရာ"
"martial law","စစ္အုပ္ခ်ဳပ္ေရး ဥပေဒ"
"maximum","အမ်ားဆံုး"
"mechanical engineer","စစ္မႈဆိုင္ရာ အင္ဂ်င္နီယာ"
"mechanised force (division)","ယႏ ၱရား တပ္ဖြဲ႕(တပ္မ)"
"mechanist","စက္ဆရာ"
"medical board","ေဆးဘက္ဆိုင္ရာ စစ္ေဆးေရးအဖြဲ႕"
"medically board out  personnel","ေဆးဘက္ဆိုင္ရာ စစ္ေဆးေရးအဖြဲ႕၏ဆံုးျဖတ္ခ်က္အရ ႏႈတ္ထြက္ခြင့္ရရွိသူ"
"medical category","က်န္းမာေရး အဆင့္အတန္း၊ ေဆးအဆင့္"
"medical certificate","ေဆးလက္မွတ္"
"medical resources","ေဆးအဖြဲ႕ပစၥည္းမ်ား"
"medical treatment","ေဆးကုသျခင္း"
"medium artillery","အလတ္စား အေျမာက္"
"meeting","အစည္းအေဝး"
"memorandum","အမွာစာ"
"mentioned in dispatches","သူရဲေကာင္းမွတ္တမ္းတင္ျခင္း"
"mercenary troops","ေၾကးစားတပ္"
"messenge (operation order)","ေၾကးနန္းစာ"
"messenger","ဆက္သား"
"method (operation order)","လုပ္နည္း၊နည္းပေဒသ"
"military administrator","စစ္အဖြဲ႔ ၿမိဳ႕ျပအုပ္ခ်ဳပ္ေရး အရာရွိ"
"military air warrant","စစ္ဘက္ေလယာဥ္စီးဝရမ္း"
"military credit note","စစ္ဘက္ကုန္တင္လႊာ"
"military custody","စစ္ဘက္အခ်ဳပ္ခန္း"
"military detention centre","စစ္အက်ဥ္းေထာင္"
"military offence","စစ္ဘက္ဆိုင္ရာ ျပစ္မႈ"
"mine lanes","မိုင္းရွင္း ျဖတ္လမ္း"
"mine lifting","မိုင္းေဖာ္ျခင္း"
"minor head","ေခါင္းစဥ္ငယ္"
"minor SD (staff duties)","စစ္ဦးစီးတာဝန္"
"minute, record","မွတ္တမ္း"
"minute sheet","မွတ္တမ္းလႊာ"
"miscellaneous","အေထြေထြ"
"miscellaneousQ","စစ္ေထာက္ အေထြေထြ ကိစၥ"
"misfire","က်ည္မထြက္ျခင္း"
"mislead","ဲျဖားေယာင္းျခင္း"
"mission (task)","ရည္မွန္းခ်က္တာဝန္"
"mitigation","ေပါ့ေလ်ာ့ေအာင္ျပဳလုပ္ျခင္း၊ ေပါ့ေလ်ာ့ေစျခင္း"
"mobil","ေရႊ႕ေျပာင္းရလြယ္ကူေသာ"
"mobile crane","ေရႊ႕ေျပာင္းႏိုင္ေသာဝန္ခ်ီစက္"
"mobile fire control(martar)","စိန္ေျပာင္းအကဲၾကည့္"
"mobility","ေရႊ႕ေျပာင္းရလြယ္ကူျခင္း"
"mobilization state","စစ္အေျခသို႔ေျပာင္းရျခင္း"
"model (sand, cloth)","ပံုစံငယ္(သဲ၊အဝတ္)"
"monetary allowance","စရိတ္ေငြ"
"monrtary award","ဆုေငြ"
"mopping up","သုတ္သင္ရွင္းလင္းျခင္း"
"morale reports","စိတ္ဓာတ္အေျခအေနဆိုင္ရာ အစီအရင္ခံစာ"
"mortar fire control","စိန္ေျပာင္းအကဲၾကည့္"
"most immediate","အျမန္ဆံုး"
"motor transtort officer(MTO)","ေမာ္ေတာ္ယာဥ္ပို႕ေဆာင္ေရးအရာရွိ"
"motorised battalions","ယာဥ္တင္ ေျခလ်င္တပ္ရင္းမ်ား"
"movement (plan)","ေရႊ႕ေျပာင္းေရး စီမံခ်က္"
"movement control","သြားလာမႈ ႀကီးၾကပ္ေရး"
"movement by bounds","တစ္ေထာက္ၿပီးတစ္ေထာက္ခ်ီတက္ျခင္း"
"movement  graph","ေရႊ႕ေျပာင္းေရးျပမ်ဥ္း"
"movement light","မီးေမာင္းထိုးေပးျခင္း"
"movement order (M.O.)","သြားလာခြင့္အမိန္႕"
"mustering out","အခ်ိန္မေစ့မီ ထြက္ခြင္ျ့ပဳျခင္း"
"mustering out gratuity","အခ်ိန္မေစ့မီ ထြက္ခြင္ျ့ပဳဆုေငြ"
"mustering out pension","အခ်ိန္မေစ့မီ ထြက္ခြင္ျ့ပဳအၿငိမ္းစားလစာ"
"mutiny","တပ္တြင္းပုန္ကန္မႈ"
"mutual support","အျပန္အလွန္ေထာက္ပံ့မႈ"
"N","November"
"national defence","ႏိုင္ငံေတာ္ ကာကြယ္ေရး"
"national service","ျပည့္သူ႔ စစ္မႈထမ္း"
"navigation party","လမ္းညႊန္အဖြဲ႔"
"napalm","နပမ္း"
"neurologist","အာရံုေၾကာဆိုင္ရာ ဆရာဝန္"
"neutralise","စြမ္းအင္ႏွိမ္ထားျခင္း"
"neutralisation(immediate)","အေရးတႀကီးႏွိမ္ပစ္ျခင္း"
"neutralisation(mines)","ရန္သူ႕မိုင္းမ်ား စြမ္းအင္မထိေရာက္ေစျခင္း"
"next of kin(NOK)","အနီးစပ္ဆံုး ေဆြမ်ိဳး"
"nissen hut","နစ္ဆင္တဲ"
"noisy attack","ဆူညံေသာ တိုက္ခိုက္မႈ"
"nomenclature","ပစၥည္းအမည္"
"nominal roll","အမည္ေဖာ္ လူစာရင္း"
"nomination","အမည္တည္သြင္းျခင္း"
"nomination roll","အမည္စာရင္း"
"non-battle casuaity","တိုက္ပြဲျပင္ပ လူနာ"
"non-combatant","တိုက္ပြဲမဝင္ စစ္မႈထမ္း"
"non-warlike stores","သာမန္သံုးပစၥည္း(စစ္ဘက္)"
"normal holding","သာမန္သိုေလွာင္ထားျခင္း"
"normal stock","သာမန္သိုေလွာင္ထားေသာ ပစၥည္းစာရင္း"
"note","မွတ္စု၊ အတို၊ မွတ္ခ်က္"
"nozzle","ေနာ္ဇယ္"
"O","Oscar"
"oath","က်မ္းက်ိန္သည္"
"objective","ရည္မွန္းခ်က္(ေနရာ)"
"oblique aerial photograph","တေစာင္းရိုက္ေလေၾကာင္းဓါတ္ပံု"
"observation","ၾကည့္ရႈ႕ေလ့လာျခင္း၊ အကဲၾကည့္ျခင္း"
"observation angle(OT)","ရႈမ်ဥ္း"
"observation of locating battalion","ရွာေဖြေရးတပ္ရင္း"
"observation post(infantry)","ၾကည့္ကင္း"
"observe fire","ၾကည့္ပစ္"
"occupy","သိမ္းပိုက္ျခင္း"
"offence","ျပစ္မႈ"
"offence(civil)","နယ္ဘက္ဆိုင္ရာ ျပစ္မႈ"
"offence(particulars of)","ျပစ္မႈက်ဴးလြန္ပံုေဖာ္ျပခ်က္"
"offence(statement of)","ျပစ္မႈ အမည္ေဖာ္ျပခ်က္"
"offensive","ထိုးစစ္"
"office copy","ရုံးလက္ခံ"
"office order","ရံုးတြင္းအမိန္႕"
"officer instructor","နည္းျပအရာရွိ"
"officiating","တာဝန္တိုးယူေဆာင္ျခင္း"
"on course of instruction ex-myanmar","ျပည္ပသင္တန္းတက္"
"on course of instruction inmyanmar","ျပည္တြင္း သင္တန္းတက္"
"on deputation","ဌာနျခားသို႕ ယာယီေစလႊတ္ျခင္း"
"on loan","အငွား"
"on probation","အစမ္းခန္႔ထားျခင္း"
"on repayment","ေနာင္ေပးခြင့္"
"open attest","အက်ယ္ခ်ဳပ္"
"open country","ေတာေတာင္မထူထပ္ေသာ နယ္ေျမ"
"open formation","က်ဲက်ဲတပ္ျဖန္႕ခြဲမႈ"
"operation","စစ္ဆင္မႈ၊ စစ္ဆင္ေရး၊ စစ္ဆင္ျခင္း"
"operational grouping","စစ္ဆင္ရန္ စုဖြဲ႕ျခင္း"
"operational immediate","အျမန္(စစ္ဆင္ေရး)"
"operation order","စစ္ဆင္မႈ အမိန္႕"
"opinion","ထင္ျမင္ခ်က္၊ အျမင္"
"oral test","ႏႈတ္ေျဖ စာေမးပြဲ"
"order","အမိန္႕၊ အစီအစဥ္"
"order(myanmar army)","ျမန္မာ့တပ္မေတာ္ အမိန္႔"
"order group(O group)","အမိန္႔ေပးအဖြဲ႔"
"order of battle","စစ္အဂၤါစဥ္"
"order of march(advance)","ခ်ီတက္မႈ အစီအစဥ္"
"order  of precedence","ရာထူးအလိုက္ ေနရာအစီအစဥ္"
"organic(troops)","ဖြဲ႔စည္းပံုအရတပ္မ်ား"
"orientation","ေဒသအလိုက္ အေျခအေန ေလ့လာမႈ"
"orientation (map)","ညႊန္းမွတ္ျခင္း၊ ေျမပံုႏွင့္ ေျမျပင္ တိုက္ဆိုင္ျခင္း"
"original","မူရင္း"
"other rank","အျခားအဆင့္ စစ္သည္"
"outflank(to)","ေဘးမွ ပန္းတက္ျခင္း"
"outpost","စစ္ေျမျပင္ ကင္းစခန္း"
"outstanding service","ထူးခၽြန္စြာ အမႈထမ္းရြက္ျခင္း"
"out station","တပ္နယ္ျပင္ပ"
"overall combination","အေပၚရံု အဝတ္"
"overdue, time bar(psat)","အခ်ိန္လြန္ျခင္း"
"over extended","အလြန္အမင္း တပ္ဆန္႔ျခင္း"
"overhead cover","အေပၚဖံုး"
"overpayment","ပို႔ေပးေငြ"
"overrun","ခ်င္းနင္း သိမ္းပိုက္သည္"
"over sea","ပင္လယ္ရပ္ျခား၊ တိုင္းတပါး"
"own troops","မိမိတပ္မ်ား"
"P","Papa"
"pace setting","ေျခလွမ္းႏႈန္း ေပးျခင္း"
"pack artillery","ဝန္တင္အေျမာက္တပ္"
"pack mule","ဝန္တင္လား"
"package","အထုပ္"
"packing material","ထုပ္ပိုးၿပီး ပစၥည္း"
"paint shop","ေဆးသုတ္ရံု"
"painter","ေဆးသုတ္သူ"
"pamphlet","စာေစာင္"
"paper under consideration","ထည့္သြင္းစဥ္းစားရန္စာ"
"paper under disposal","ေဆာင္ရြက္ရန္စာ"
"parachute","ေလထီး"
"pardon","လြတ္ၿငိမ္းခ်မ္းသာခြင့္"
"parent unit","မိခင္တပ္"
"part 1 order","အပိုင္း ၁ အမိန္႔"
"part 2 order","အပိုင္း ၂ အမိန္႔"
"particulars","အေၾကာင္းအခ်က္မ်ား"
"particulars of service","အမႈထမ္း အေၾကာင္းအရာ"
"partisans","ပါတီဝင္ ေျပာက္က်ား"
"pass(mountain)","ေတာင္ၾကားလမ္း"
"pass mark","ေအာင္မွတ္"
"pass word","ကင္း စကားဝွက္"
"passage regulation","ခရီးသြား စည္းမ်ဥ္းဥပေဒ"
"passage warrant","ျဖတ္သန္းသြားလာခြင့္ ဝရမ္း"
"patrol","လွည့္ကင္း"
"patrol bases","ကင္းလႊတ္စခန္းမ်ား"
"pattern maker","ပံုထြင္းသမား"
"pay book","လစာ စာအုပ္"
"pay code","လစာဥပေဒစု"
"payment","ေငြေပးျခင္း"
"peace","ၿငိမ္းခ်မ္းေရး၊ စစ္ေျပၿငိမ္းျခင္း"
"penalty clause","ဂတိပ်က္ စည္းမ်ဥ္းမ်ားအပိုဒ္"
"pending","ဆိုင္းငံ့၊ ဆိုင္းထားျခင္း"
"pending enquiry award","စံုစမ္းဆဲ ေထာက္ပံ့ေငြ"
"penetration (ammunition)","ေဖာက္ဝင္ျခင္း(ခဲယမ္း)"
"penetrartion(tactics)","ေဖာက္စစ္(နည္းဗ်ဴဟာ)"
"pension regulation part 1","အၿငိမ္းစား စည္းမ်ဥ္းဥပေဒ အပိုင္း ၁"
"pensionary terms","အၿငိမ္းစား စည္းမ်ဥ္း"
"percussion","ထိကြဲ"
"percussion cap","ထိကြဲ နားခြက္"
"percussion fuze","ထိကြဲ စနက္"
"perimeter defence","တပ္နယ္ဝန္း ကာကြယ္မႈ"
"period","ကာလ၊ အခ်ိန္အပိုင္းအျခား"
"period(teaching)","သင္ခန္းစာ သင္ခ်ိန္"
"personal","ကိုယ္ေရးကိုယ္တာ"
"personal gap","လူသြား ၾကားလမ္း"
"perusal","ဖတ္ရန္"
"pertrol tank","ဆီတိုင္ကီ"
"phase","အပိုင္း"
"phase line","စစ္ဆင္မႈ အပိုင္းမ်ဥ္း"
"phoney mine field","မိုင္းကြင္းအတု"
"picked","သံငုတ္တိုင္"
"picket","ေစာင့္ကင္း"
"pill box","အဂၤေတ ကတုတ္"
"pioneer battalion","ေဆာက္လုပ္ေရး အလုပ္သမားတပ္"
"pioneers (infantry)","ဦးေဆာင္တပ္သားမ်ား"
"pioneer and labour","ေဆာက္လုပ္ေရးႏွင့္ အလုပ္သမားမ်ား"
"pistol automatic","ပစၥတို"
"pistol revolver","ေျခာက္လံုးျပဴး"
"plan","စီမံမႈ၊ စီမံခ်က္၊ စီမံေရး"
"plan(drawing)","ပံုစံ(ပံုဆြဲ)"
"platoon headquarters","တပ္စုရံုး"
"plea","တရားခံ၏ ထြက္ဆိုခ်က္"
"plea (special)","အထူး ထြက္ဆိုခ်က္"
"point (advance guard)","ေရွ႕ဖ်ားတပ္"
"pole change","တုတ္ထိုး ယမ္းဘီလူး"
"pontoon","ေဘာ့ေလွ"
"pontoon bridge","ေဘာ့တံတား"
"pontoon raft","ေဘာ့ေဖာင္"
"portable","လက္ဆြဲ"
"postal discharge disability claim","နားမစြမ္းမႈအတြက္ ထြက္ခြင့္ျပဳၿပီးမွ ေတာင္းခံျခင္း"
"posting","ခန္႕ထားျခင္း၊ တာဝန္ေပးျခင္း"
"power turret","ဓါတ္အား ဆံုလည္"
"practice ammunition","ေလ့က်င့္ေရးက်ည္"
"preamble","စကားခ်ီး"
"precis","သင္ခန္းစာ အက်ဥ္း"
"predicated fire","တြက္ပစ္"
"prejudice","အဂတိ"
"preliminary","ပဏာမ"
"preliminary bombardment(preparation fire, artillery)","ႀကိဳတင္ပစ္ခတ္ျခင္း(အေျမာက္)"
"preliminary order","ႀကိဳတင္ အမိန္႔"
"premature retirement","အခ်ိန္မေစ့ဘဲ အၿငိမ္းစားယူျခင္း"
"press section","ပံုႏွိပ္ ဌာနစိတ္"
"pressure guage","ေလတိုင္း ဂိတ္"
"pre-trial advice","အမႈမတင္မီ အႀကံဥာဏ္ေပးခ်က္"
"price","ေစ်းႏႈန္း"
"primary","မူလ၊ အဓိက"
"primer","ပ်ိဳးယမ္း၊ နားခြက္"
"primer cord","ယမ္းႀကိဳး"
"priority","ဦးစားေပးမႈ အဆင့္"
"prismatic compass","ပရစၥမက္ အိမ္ေျမွာင္"
"prison","အက်ဥ္းေထာင္"
"prison (civil)","နယ္ဘက္ဆိုင္ရာ အက်ဥ္းေထာင္"
"prison of war(P.O.W)","သံုပန္း"
"probing attacks","ေသြးတိုးစမ္း တိုက္ခိုက္မႈ"
"procedure","လုပ္ငန္းစည္းမ်ဥ္း"
"procedure (legal)","က်င့္ထံုး"
"proceedings","အမႈတြဲမ်ား"
"processing","စည္းကမ္းစနစ္တက် ေဆာင္ရြက္ျခင္း"
"procurement","ပစၥည္း ဝယ္ယူမႈ"
"prodding (mine)","ထိုးဆြ၍ ရွာျခင္း(မိုင္း)"
"progress","တိုးတက္မႈ"
"progress report","တိုးတက္မႈ အစီအရင္ခံစာ"
"projectile (artillery)","က်ည္"
"promotion","အဆင့္တိုးျမွင့္ေရး"
"prompt","ခ်က္ခ်င္း"
"promulgation","ထုတ္ျပန္ေၾကျငာျခင္း"
"propellant (explosive)","ႏွင္ယမ္း"
"protection","အကာအကြယ္၊ ကာကြယ္မႈ"
"protective mine fields","အကာအကြယ္ မိုင္းကြင္းမ်ား"
"protractor","စက္ဝိုင္းျခမ္း"
"provisioning","ျဖည့္တင္းေရး၊ ျဖည့္တင္းျခင္း"
"provisioning officer","ျဖည့္တင္းေရးအရာရွိ"
"proximity fuze","ေရဒါ စနက္"
"psychological warfare branch","စိတ္ဓါတ္စစ္ဆင္မႈ ဌာနခြဲ"
"publications branch","ပံုႏွိပ္ျဖန္႔ခ်ိေရး ဌာနခြဲ"
"punishment","အျပစ္ေပးျခင္း"
"pursuit (tactical)","ထပ္ခ်ပ္လိုက္စစ္"
"Q","Quebec"
"Q matters","စစ္ေထာက္ကိစၥမ်ား"
"qualification pay","အရည္အခ်င္းလစာ"
"quadrant","စက္ဝိုင္းျခမ္း"
"quartering","ေနရာခ်ထားေရး"
"query","ေမးခြန္း"
"R","Romeo"
"rader","ေရဒါ"
"radio/wireless mechanic (RM)","ေရဒီယိုစက္ျပင္"
"radiological warfare","အႏုျမဴဓါတ္အားျဖင့္ စစ္ဆင္ျခင္း"
"raid","၀င္စီးျခင္း"
"rail","သံလမ္း"
"rail head (RH)","မီးရထားလမ္းဆံုး"
"railway","မီးရထား"
"railway transportation officer","မီးရထား ပို႔ေဆာင္ေရး အရာရိွ"
"ramp","ကံုးေဘာင္"
"range","စစ္ပစ္ကြင္း၊ အကြာအေ၀း"
"range finder","အကြာအေ၀းတိုင္း ကိရိယာ"
"range table","ပစ္ဇယား"
"ranging","အေ၀းပစ္ရွာျခင္း"
"rank, stage","အဆင့္"
"rapid fire, volley (Gun Fire)","အျမန္ပစ္"
"rate of advance","ခ်ီတက္မႈႏႈန္း"
"ration","ရိကၡာ"
"reaction","တံု႕ျပန္ျခင္း"
"rear (as a term in manoeuvre)","စစ္ေက်ာေနာက္ပိုင္း"
"rear (when far in rear is meant)","ေနာက္ေၾကာင္း"
"rear guard","ေနာက္ရံတပ္"
"rear headquarters","ေနာက္ပိုင္း ဌာနခ်ဳပ္"
"reason","အေၾကာင္းျပခ်က္"
"receipt and issue section","လက္ခံေရးႏွင့္ ထုတ္ေပးေရး ဌာနစိတ္"
"receipt voucher","ရေၾကာင္း ေဘာက္ခ်ာ"
"reckonable service","ေရတြက္ခြင့္ျပဳေသာ အမႈထမ္းသက္"
"recoil","ေနာက္ကန္ျခင္း၊ ေနာက္ကန္အား"
"recoilless (gun or rifle)","ေနာက္ပြင့္ အေျမာက္/ ရိုင္ဖယ္"
"recoil system","ေနာက္ကန္ထိန္းစနစ္"
"recoil system (assembly)","ေနာက္ကန္ထိန္းစနစ္"
"recommendation","ေထာက္ခံခ်က္"
"recondition","စင္းလံုးေခ်ာ ျပင္ျခင္း"
"reconnaissance","ကင္းေထာက္"
"á°á¯á¹reconnaissance boat","ကင္းေလွ"
"reconnaissance group (artillery)","ေနရာေရြး အဖဲြ႕"
"reconnaissance group (B.P)","အေျခအေနၾကည္႕ အဖဲြ"
"reconsideration","ျပန္လည္စဥ္းစားျခင္း"
"record of service","အမႈထမ္းသက္ မွတ္တမ္း"
"recovered","ျပန္လည္ေတြ႕ရိွ၊ ျပန္ေကာက္"
"recovery post","ပစၥည္းေကာက္ ေနရာ"
"recovery section","ပစၥည္းေကာက္ တပ္စိတ္"
"recreation  room","အပန္းေျဖရိပ္သာ"
"recruiting","စစ္သားစုေဆာင္းျခင္း"
"reduce (tactical)","ေခ်မႈန္းသည္"
"reduced to the ranks","တပ္သားအဆင့္သို႕ ေလွ်ာ့ခ်ုသည္"
"reduced to the rank of ---","--- အဆင့္သို႕ ေလွ်ာ့ခ်သည္"
"reference","ရည္ညႊန္းခ်က္"
"reference library","မီွျငမ္းျပဳ စာၾကည္႕တိုက္"
"refills","ထပ္ျဖည္႕ျခင္း"
"refresher course","ဥာဏ္သစ္ေလာင္းသင္တန္း"
"refugees","ဒုကၡသည္မ်ား"
"regimental orders","တပ္ရင္းအမိန္႕မ်ား"
"regrouping","ျပန္လည္ စုဖဲြ႕ျခင္း"
"regular army","အၿမဲတမ္း တပ္မေတာ္"
"regular commission","အၿမဲတမ္း ျပန္တမ္းဝင္"
"regular engagement","အၿမဲတမ္း စစ္မႈထမ္း"
"regulations","စည္းမ်ဥ္းဥပေဒ"
"rehabilitation","ျပန္လည္ ထူေထာင္ေရး"
"rehearsal","ဇာတ္တိုက္ျခင္း၊ ႀကိဳတင္ေလ့က်င့္ျခင္း"
"reinforcement","စစ္ကူ"
"reject","ပယ္သည္"
"relative forces","တပ္အင္အား ႏႈိင္းယွဥ္ခ်က္"
"relax","ေလွ်ာ့ေပါ့ျခင္း၊ သက္ေတာင့္သက္သာ"
"relaxation of age limit","အသက္ ကန္႕သတ္ခ်က္ကို ေလွ်ာ့ျခင္း"
"relay shoot (artillery)","တစ္ဆင့္ကမ္းပစ္"
"relay station","တစ္ဆင့္ ပို႕စက္/ ဌာန"
"release","ထြက္ခြင့္"
